name,category,subcategory,torrentSize,torrentLink,coverImageUrl
"Кук Глен - Черный Отряд / Книги Юга 05, Стальные сны [Всеволод Кузнецов, 2022, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","533 MB","magnet:?xt=urn:btih:959A00E9C07CFD936272407133DE7814DCA5A6BF&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","https://i117.fastpic.org/big/2022/0509/a8/0f7656d93c837a1b53c5d2c614a950a8.jpg"
"Хилл Джо - Рога [Валентин Кузнецов, 2022, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","809.7 MB","magnet:?xt=urn:btih:73C412276D795E30DDFD2B870DCCBF362784663C&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","https://i117.fastpic.org/big/2022/0508/53/d327fba6679188ee13b1844995ebd453.jpg"
"Кинг Стивен - Тёмная башня 0-7 [Роман Волков, Олег Булдаков, Александр Балунов, Владимир Князев, Андрей Князев, Кирилл Головин, Сергей Чонишвили, Ирина Волкова, BigBag, (ЛИ), 2020, 256 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","19.1 GB","magnet:?xt=urn:btih:3CF56710757703DF5535CFF41A673B117FB93927&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","https://i114.fastpic.ru/big/2020/1231/a8/68fba912e3a66edde9a14c36c06a58a8.jpg"
"Пратчетт Терри – Плоский мир. Ринсвинд, Коэн и волшебники 2, Безумная звезда [Клюквин Александр, 2017, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","442.7 MB","magnet:?xt=urn:btih:C835B5775216C4779D259A93EB108DBBCC170DDD&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet","http://i6.imageban.ru/out/2018/01/19/220d295065e35a1326a932c5076f0281.jpg"
"Паланик Чак - Чак Паланик - Колыбельная [Дмитрий Паволь (ЛИ), 2015 г., 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","388.7 MB","magnet:?xt=urn:btih:C4EDB82CB1208A94AB4BFB06326EEAF729C011FD&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet","http://i69.fastpic.ru/big/2015/0530/e8/879bc715c1a7652916d09953f04f60e8.jpg"
"Крауч Блейк - Возвращение [Максим Гамаюнов, 2021, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","707.5 MB","magnet:?xt=urn:btih:C753CC6B98FF201EAD887EFEBB8538CD23815544&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","https://i116.fastpic.org/big/2021/1103/13/be98dfd201271c9121e213a15e912c13.jpg"
9807D3E984F14C84C9F7746688FCE3ABD7C62&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","http://img.aktualne.centrum.cz/538/85/5388558-j-r-r-tolkien.jpg"
"Кинг Стивен - Сердца в Атлантиде [Герасимов Вячеслав, 2012 г., 128 kbps, 44 kHz, Mono, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","1.22 GB","magnet:?xt=urn:btih:28AFCD4B9E9DFF41734E499DDEB5C8FF80B943E6&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","http://funkyimg.com/u2/1205/843/246822image67901453.jpg"
"Метцен Крис - World of Warcraft 2, Варкрафт: Хроники. Энциклопедия. Том 2 [Дружинин Степан, (ЛИ), 2019, 192 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","757.3 MB","magnet:?xt=urn:btih:3A4AE730367B0A709974F2230511E3A768D346A5&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet","https://i111.fastpic.ru/big/2019/1207/ec/59a93657a3526e27f11a4f4f6827edec.png"
"Брэдбери Рэй - 451 градус по Фаренгейту [Зайцев Владимир, 2017, 60 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","153 MB","magnet:?xt=urn:btih:84106CCDFC88312A3037D4287016E298629A45A8&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","http://s008.radikal.ru/i304/1706/89/e45c588db7a6.jpg"
"Пратчетт Терри - Плоский мир. Городская стража. 8, Дело табак [Макс Потёмкин, (ЛИ), 2020, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","756.2 MB","magnet:?xt=urn:btih:44ECEC93B041C643DCF23F41E6222B5C5A331E92&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","https://i111.fastpic.ru/big/2020/0104/16/d54d0d33102057d0c2855ee7a4aa3f16.jpg"
