name,category,subcategory,torrentSize,torrentLink,coverImageUrl
"Блаватская Елена Петровна - Тайная Доктрина том 2 Антропогенезис [BIGBAG, (ЛИ), 2018, 128 kbps, MP3]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","1.63 GB","magnet:?xt=urn:btih:B8C6FE5F03E84C255038F7A16C66A0C0EE463239&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i106.fastpic.ru/big/2018/1231/5d/9d4f5fb07e7963ca654e315440aa755d.jpg"
"Ошо Раджниш - Смерть - величайший обман [Nikosho (ЛИ), 2012 г., VBR V0, MP3]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","463.3 MB","magnet:?xt=urn:btih:3618695F8B5112C4088EF192A1827795F50D4D07&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","http://i31.fastpic.ru/big/2012/0318/62/7046227bc189863fc111b379d6a46c62.jpg"
"Ксендзюк Алексей - Тайна Карлоса Кастанеды. Анализ магического знания дона Хуана [dunlocker, (ЛИ), 2014 г., 128 kbps, MP3]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","1.14 GB","magnet:?xt=urn:btih:3F1BD418ED86001187BF7C6B782984A5E97AFBD2&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","http://i63.fastpic.ru/big/2014/0614/06/494e801c52634d7517dd3927d7f45a06.jpg"
"Клаус Дж. Джоул - Клаус Дж. Джоул «Посланник. Правдивая история про любовь» [А. Толшин, 2006]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","488.8 MB","magnet:?xt=urn:btih:9F86820DEF3D798A71F269E0FCEFA3BCEC4DBA2A&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","http://www.ozon.ru/multimedia/books_covers/1000387081.jpg"
"Гари Ромен - Повинная голова [Мурашко Игорь, 24]","Прочая литература","[Аудио] Некондиционные раздачи","62.8 MB","magnet:?xt=urn:btih:C7B6B25BDA1BA8D0107A1281C2DEAB6DB66A10E5&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet","http://www.ozon.ru/multimedia/books_covers/1000037963.jpg"
"Моуди Рэймонд - Жизнь после жизни. Исследование феномена продолжения жизни после смерти тела [Михаил Росляков, 2020, 80 kbps, MP3]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","166.7 MB","magnet:?xt=urn:btih:269C5288BAC024C752B005E71426781F6C255B02&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","https://i114.fastpic.ru/big/2021/0108/f9/b6aa1c59c2648d818872adc512121df9.jpg"
"Антарова Конкордия - 1-4, Две жизни [BIGBAG, (ЛИ), 2017, 192 kbps, MP3]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","6.85 GB","magnet:?xt=urn:btih:3CC20A607AB93B2BE6647EC5F2185ACB7B923DF0&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","http://i91.fastpic.ru/big/2017/0305/f1/b47bc605d1f057d0b63d59aa7e1ba2f1.jpg"
"Волински Стивен (Стефен) - Квантовое Сознание [Вадим Демчог, 2015 г., 128 kbps, MP3]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","798.3 MB","magnet:?xt=urn:btih:594F02144D314385B8954BFB8523573CE651FF78&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","http://i.imgur.com/EWer8rB.jpg"
"Блаватская Елена Петровна - Тайная Доктрина в 2-х томах с комм. А. В. Владимирова том 1, Космогенезис [BIGBAG, (ЛИ), 2015 г., 192 kbps, MP3]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","1.05 GB","magnet:?xt=urn:btih:0B9E3140B84AEC67F90155D5211A8A7FB42BC125&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","http://i63.fastpic.ru/big/2015/0129/02/4e9aa092751763933a5dd7fad4e71c02.jpg"
"Е. П. Блаватская - Разоблаченная Изида. Том I [Ирина Маликова, 2007, 80kbps]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","1.2 GB","magnet:?xt=urn:btih:D314BA618B9E4C9F4EAB84A67E03E6EC4A5C2ECF&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","http://i3.fastpic.ru/big/2009/1023/b2/8b9724cf6503426ffa93a281867b1db2.jpg"
"Ньютон Майкл - Майкл Ньютон Путешествия Души [Любитель (ЛИ), 2013 г., 320, MP3]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","1.88 GB","magnet:?xt=urn:btih:D2ABEEC1F3B0247814EDAC1CBAB2E54EF24BBFEB&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","http://i53.fastpic.ru/big/2013/0223/db/9c81c1d2e5d8ed018af2977ba06bb5db.png"
"Радуга Михаил - «Параллельная реальность вне тела» [Дубина Александр, 2005]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","586.9 MB","magnet:?xt=urn:btih:D88ADD87B92C8FBB3FE48FE5D2E7A3B14461B82C&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","http://i13.fastpic.ru/big/2010/1203/f7/e3b06e756e80f394cbe9c4a6531d2df7.jpg"
gnet:?xt=urn:btih:E02302E8B02B67163AF04F501D326D31D58268E7&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","http://i18.fastpic.ru/big/2011/0319/7b/f539014a1c87a73523d814d93bc89c7b.jpg"
"Галлахер Ричард - Одержимые дьяволом. Мой опыт психиатра рядом с паранормальным [Валерий Захарьев, 2021, 128 kbps, MP3]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","649.2 MB","magnet:?xt=urn:btih:EFDF837DCB21634A17278C0171209FFD8974DFFE&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i114.fastpic.ru/big/2021/0427/ab/95896d527f5d1a4c1198e9e5158808ab.jpg"
